4K专区,#genre#
安徽卫视,http://114.226.212.170:8787/rtp/239.49.8.204:6000
湖北卫视,http://114.226.212.170:8787/rtp/239.49.8.147:6000
黑龙江卫视,http://114.226.212.170:8787/rtp/239.49.8.144:6000
重庆卫视,http://114.226.212.170:8787/rtp/239.49.8.149:6000
吉林卫视,http://114.226.212.170:8787/rtp/239.49.1.49:6000
广西卫视,http://114.226.212.170:8787/rtp/239.49.1.40:6000
青海卫视,http://114.226.212.170:8787/rtp/239.49.1.53:6000
东方卫视,http://114.226.212.167:8787/rtp/239.49.8.17:9606
海南卫视,http://124.112.240.102:4022/rtp/238.1.79.49:4504
贵州卫视,http://124.112.240.102:4022/rtp/238.1.78.244:7824
厦门卫视,http://124.112.240.102:4022/rtp/238.1.78.246:7840
上海生活时尚,http://124.112.240.102:4022/rtp/238.1.78.155:7112
上海东方财经,http://124.112.240.102:4022/rtp/238.1.78.73:6456
淮北经济生活,http://124.112.240.102:4022/rtp/238.1.78.136:6960
太湖新闻综合,http://124.112.240.102:4022/rtp/238.1.79.12:4208
阜阳新闻综合,http://124.112.240.102:4022/rtp/238.1.78.124:6864
卡酷少儿,http://124.112.240.102:4022/rtp/238.1.78.97:6648
萧县新闻综合,http://124.112.240.102:4022/rtp/238.1.79.46:4480
固镇新闻综合,http://124.112.240.102:4022/rtp/238.1.79.47:4488
涡阳新闻综合,http://124.112.240.102:4022/rtp/238.1.78.197:7448
广德新闻综合,http://124.112.240.102:4022/rtp/238.1.78.212:7568
河南卫视,http://220.176.218.151:9000/udp/239.252.220.189:5140
山西卫视,http://220.176.218.151:9000/rtp/239.252.219.27:5140
铜陵新闻综合,http://124.112.240.102:4022/rtp/238.1.78.139:6984
陕西卫视,http://220.176.218.151:9000/rtp/239.252.219.105:5140
河南梨园频道,http://220.176.218.151:9000/udp/239.252.220.179:5140
宿州公共频道,http://124.112.240.102:4022/rtp/238.1.78.122:6848
黟县新闻综合,http://124.112.240.102:4022/rtp/238.1.78.149:7064
河北经济生活,http://60.4.28.155:8077/rtp/239.253.92.171:6001
唐山生活服务,http://60.4.28.155:8077/rtp/239.253.92.126:6026
唐山公共频道,http://60.4.28.155:8077/rtp/239.253.92.128:6028
廊坊新闻综合,http://60.4.28.155:8077/rtp/239.253.92.164:6036
廊坊生活频道,http://60.4.28.155:8077/rtp/239.253.92.166:6037
保定新闻综合,http://60.4.28.155:8077/rtp/239.253.93.2:6153
衡水新闻综合,http://60.4.28.155:8077/rtp/239.253.93.3:6154
衡水经济科教,http://60.4.28.155:8077/rtp/239.253.93.7:6160
邢台城市生活,http://60.4.28.155:8077/rtp/239.253.93.10:6163
邯郸新闻综合,http://60.4.28.155:8077/rtp/239.253.93.11:6164
邯郸公共频道,http://60.4.28.155:8077/rtp/239.253.93.12:6165
定州新闻综合,http://60.4.28.155:8077/rtp/239.253.93.95:6260
鸡泽新闻综合,http://60.4.28.155:8077/rtp/239.253.93.64:6219
